,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
10,2029.0,3.7153098350776737,0.5276054565201349,0.195,3955705.979099015,403872958.38415533,101631735.77338532,10231558.0,66985978.32531509,30683435.48582261,45321095.988388576,52586990.515617035,4400000.0,892527.3227175855,51716556.40516299,290274052.4872645,2100000.0,120663287.84021664,59803647.70041602,13189718.477284154,5972138.219572035,1345921.1866595203,2842347.2109473674,241326575.68043327,10111631.318553556,837770.5246232903,610433.251110347
11,2030.0,3.15294732432225,0.5651793155053365,0.195,3289760.1662793877,340995209.7299199,56145556.0,10231558.0,69631677.19005048,31794722.996854756,46403781.96136352,54983152.80471621,4000000.0,1829462.8501492564,56174096.845825836,325158710.638775,3000000.0,101128424.70022596,64176509.463420585,10710085.466618089,6593812.000598562,2274681.1664073127,1087356.305816786,202256849.40045193,11334103.929293633,1678250.2857518073,499161.7554070479
12,2031.0,2.551848688565748,0.5846691668089322,0.195,4032076.2753267726,283323895.4504766,22730162.0,0.0,72364684.11732213,32942682.99575096,47737131.15373467,56996943.97314244,3600000.0,1876136.7212103917,61658970.88462402,364384085.99695957,4950000.0,81930257.09191094,66313636.11109471,7667914.152754637,5869192.2527867565,1496000.7283280091,111550.58877679013,163860514.1838219,11823093.222993169,866798.3963974566,437574.1882835616
13,2032.0,3.1596684273619564,0.6052201428811287,0.195,4865813.55588526,303477827.5920277,57391070.82783113,0.0,75187880.27319376,34128525.67461074,49348389.99285785,59016780.706200816,4200000.0,2535357.9269520887,22319066.077855304,403305863.44449997,5550000.0,101812192.65298596,72406771.3439087,7298322.685745263,1618442.0555576424,2712936.682584803,640634.9731650803,203624385.30597192,13037542.004268505,1401935.0047044954,261165.6048990155
14,2033.0,3.386080626033817,0.6228568208887589,0.195,8315679.698907709,344801878.3343511,66333727.82783113,0.0,78104241.90220915,35353501.161872886,52051322.22489324,60611200.64224379,3100000.0,2052951.6113982778,43341548.28045353,453028807.68427,4800000.0,109252988.87229407,76440189.47548169,8722223.35455039,5360366.870384837,3007960.709442706,946749.046643478,218505977.74458814,13752110.132606508,672981.3478235542,79334.41268369205
15,2034.0,3.845687524291956,0.6497972284923682,0.195,7983420.852819791,384857276.57868177,87793502.82783112,0.0,81116843.46498205,36618900.84021469,54626871.423454866,62381994.80650324,4900000.0,3618304.919239819,43365095.0121896,503360920.51030564,10087224.335502315,122651537.48168114,78381589.74862866,8217605.909126359,6893035.9613782,1162016.853566217,557209.8205190314,245303074.96336228,14056873.147287773,285683.94688288355,91892.9042260595
16,2035.0,4.005819678922294,0.6647054200917499,0.195,3427085.6516345553,401123697.0558411,89957135.82783112,0.0,84228860.87932645,37926058.70794178,55722886.15686978,64146293.81908998,3300000.0,1730636.3097811192,47774548.05785173,545766755.1137999,10950000.0,126659889.02241683,84110860.38422011,9893387.414095625,4409048.677728432,3353984.535461029,1281626.3547210912,253319778.04483366,15484616.126863612,1463060.641896193,79243.4955187008
17,2036.0,4.845381749377267,0.6829922795725348,0.195,8337988.244711623,457300102.88159955,149216570.82783112,0.0,87443574.86834422,39276352.785303846,58370745.86417563,66329920.581976555,4300000.0,2572929.0026833573,6866209.839734942,587870724.5285614,600000.0,158613200.34847155,94715768.0276864,10831202.609520748,824946.8283703952,588134.195726711,489814.8907475384,317226400.6969431,16347818.16152732,1045001.752631419,292010.1502382758
18,2037.0,5.431102122778421,0.7458876950411736,0.195,8146903.99390897,530752993.8510027,168892077.82783112,0.0,90764374.41899957,40671206.56721887,60927242.21608879,63976057.75173491,2700000.0,5459351.16203795,41624710.48150644,641898522.2982347,5250000.0,172672514.00764143,102203400.60951406,11945025.330383716,5036409.5547783235,1714417.364067752,1187683.4124552673,345345028.01528287,17930840.925333206,1712248.6950875407,229163.47766593655
19,2038.0,4.306865853910176,0.7730673630766701,0.195,6424633.225179449,471945776.34322333,79062101.82783112,0.0,94194760.35482654,42112090.52393709,62932531.63033792,63389167.386254705,2800000.0,3671071.629201812,107557851.98851535,695080541.4059162,15971316.919233257,131416688.67096773,110244041.3225265,14781935.03027789,7195281.208026474,807339.1800068512,2370242.831998572,262833377.34193546,18030837.559738286,657402.9620277532,637055.0151602271
20,2039.0,4.171701943250887,0.7761361077260955,0.195,3296901.3499644976,420235082.85815126,76775397.82783112,0.0,97738349.02653582,43600523.65122701,63969925.81026281,63700525.33305217,2700000.0,2536941.1691321386,55956497.93832953,748711738.3734207,6000000.0,133465245.03191255,114596829.2649607,9861468.693228573,5766596.961698606,1534995.262895613,2752469.3796675815,266930490.0638251,18210621.438474424,402632.5000448259,265031.81095820514
