,Fiscal Year,Uniform Rate (Full),Uniform Rate (Variable Portion),TBC Sales Rate,Interest Income,Gross Revenues,Debt Service,Acquisition Credits,Fixed Operational Expenses,Variable Operational Expenses,Utility Reserve Fund Balance (Total),R&R Fund (Total),R&R Fund (Deposit),R&R Fund (Transfer In),Rate Stabilization Fund (Deposit),Rate Stabilization Fund (Total),Rate Stabilization Fund (Transfer In),Unencumbered Funds,CIP Fund (Total),CIP Fund (Deposit),CIP Fund (Transfer In),Misc. Income,Insurance-Litigation-Arbitrage Income,Uniform Sales Revenues,Energy Savings Fund (Total),Energy Savings Fund (Deposit),Energy Savings Fund (Transfer In)
10,2029.0,3.697666296039534,0.513454342046468,0.195,7192266.876874977,267439393.98536944,101618744.12613449,10231558.0,65157258.81023089,30268515.931979973,40980747.41902062,21436920.74586546,5000000.0,4837252.0,45773045.15677197,377991439.3634318,5759892.873852261,5976296.7427753685,12867554.899268473,3297604.0145639647,2715748.0,580060.7224653682,1542410.9273098838,239051869.71101472,2573510.9798536943,259633.20291279303,143262.0
11,2030.0,3.7085215341701194,0.5294091742168503,0.195,4357912.009572019,269685506.66956687,106975757.59414779,10231558.0,67307448.3509685,31267376.957735315,42391246.13281507,21410392.586931076,5000000.0,5148861.0,39699525.250071056,419824864.79167235,242594.28707133327,6195729.2295729015,13819676.43376811,3000000.0,2121309.0,2507375.7214747015,1501988.7257573688,247829169.18291605,2596308.3738249554,277594.28707133327,269483.0
12,2031.0,2.7353215769243593,0.5617874659081965,0.195,5101116.160200536,198385743.0761589,36671592.14058553,0.0,69528594.14655046,32299200.397340573,44028600.88107563,23541736.804770373,5000000.0,3000000.0,47380637.938901745,461710220.8000785,6195729.229572901,4320718.4527806,14249496.635971343,3000000.0,2654958.0,1590295.3880112034,819176.9575774088,172828738.11122397,2797235.6900217542,185000.0,0.0
13,2032.0,2.8528370925405384,0.5675290083237255,0.195,4539995.238567922,224076143.384754,47177258.0,0.0,71823037.75338662,33365074.010452807,45504690.70284832,14779711.43561749,3000000.0,11895854.0,57855235.901720315,518221632.53907615,4320718.4527806,4672910.614435094,11226473.046598671,6750469.740459313,9854498.0,1069915.0368409364,1158019.626380172,186916424.57740375,2245294.609319734,456193.36429986055,1024036.0
14,2033.0,3.0767342015039976,0.5958917221468474,0.195,6867650.952220881,236970909.46730432,56119915.0,0.0,74193197.99924837,34466121.45279775,47715884.78115879,14779711.43561749,1400000.0,1515928.6550290808,48199565.24949947,566178864.4180684,4672910.6144350935,5038676.638676319,11912891.023365218,17433761.10590203,16835401.0,637270.6096611674,221771.47447021585,201547065.54705274,2382578.204673044,1406583.0211804064,1286911.0
15,2034.0,3.4471773124376863,0.6031441163579231,0.195,3176746.2742659487,264637713.84720793,77579690.0,0.0,76641573.53322357,35603503.46074007,48731889.6775951,14779711.435617492,5000000.0,5049027.342215697,43334052.78952184,606954122.147907,5038676.638676319,5640426.49215909,13265559.842360398,20575837.309636146,19262686.0,1149269.4167969197,305571.8502131601,225617059.68636358,2653111.9684720794,936113.2619272287,673483.0
16,2035.0,3.738623664191078,0.6491228933549008,0.195,8249508.827235974,273966988.29858756,79743323.0,0.0,79170745.45981994,36778419.07494449,51343398.590898484,14779711.435617492,5000000.0,5116504.839041838,56202290.75442211,662554346.9369501,5640426.49215909,5894316.590361618,13698349.414929379,10992893.419039395,10664673.0,1186188.6895633333,1696596.3439634892,235772663.61446473,2859025.799177997,185000.0,0.0
17,2036.0,4.0966146275557085,0.643463348027247,0.195,5502003.556724461,292534782.5801086,109586795.31943503,0.0,81783380.059994,37992106.90441766,53078908.40035103,16844347.47202199,4500000.0,2507320.0,46284715.81258447,706978905.2248659,5894316.590361618,6702784.483677438,15521719.766345538,5500000.0,3743321.0,319703.1047058831,562422.3908575303,268111379.34709752,3057945.161905965,185000.0,0.0
18,2037.0,4.405128859906636,0.6697730139823024,0.195,11172905.993772916,313381919.09333485,117013913.03204344,0.0,84482231.60197379,39245846.432263434,56573925.06672747,20183580.947633673,4750000.0,1562563.0,55372708.906916425,762399357.3959602,6702784.483677439,7082219.120137785,19727978.096700836,5250000.0,1183619.0,1783174.479597259,985322.8470984434,283288764.80551136,3270502.495246548,185000.0,0.0
19,2038.0,4.418657857785028,0.6594958597908522,0.195,4976526.5057647,322169692.18344647,125352767.63733394,0.0,87270145.24483891,40540959.36452813,58127484.944227695,20015852.050803028,4000000.0,4242613.0,54443983.92870329,812884354.7024952,7082219.120137786,7376836.008042218,21701171.84517139,3000000.0,1100000.0,1307217.5578678593,1305456.5578495874,295073440.3216887,3467636.548510193,185000.0,0.0
20,2039.0,3.830609235886544,0.6844751059619897,0.195,13290208.282345299,291990886.0254687,81137421.0111876,0.0,90150060.03791858,41878811.02355755,62257288.69160111,20901733.265388537,5000000.0,4300563.0,64260911.381873235,876342154.4027345,7376836.008042218,6378682.570931822,23778314.523384072,3000000.0,1125000.0,1862759.9833754208,1511379.9063907233,255147302.83727285,3684936.9857393466,185000.0,0.0
